filename,status,volume_rate(%),duration(s),memory(KB)
br05_042.json,partial,80.69,0.002,191
br05_043.json,partial,85.00,0.001,207
br05_044.json,partial,79.15,0.002,231
br05_045.json,partial,83.46,0.005,284
br05_046.json,partial,84.04,0.001,184
br05_047.json,partial,79.98,0.003,243
br05_048.json,partial,81.31,0.002,186
br05_049.json,partial,87.62,0.001,202
br05_050.json,partial,85.45,0.005,281
br05_051.json,partial,82.48,0.006,324
br05_052.json,partial,82.32,0.002,232
br05_053.json,partial,84.00,0.002,196
br05_054.json,partial,81.14,0.004,298
br05_055.json,partial,81.89,0.003,216
br05_056.json,partial,81.43,0.009,360
br05_057.json,partial,80.87,0.001,154
br05_058.json,partial,85.61,0.001,204
br05_059.json,partial,81.47,0.004,248
br05_060.json,partial,81.93,0.002,217
br05_061.json,partial,83.32,0.001,179
br05_062.json,partial,82.57,0.003,201
br05_063.json,partial,82.72,0.001,188
br05_064.json,partial,86.40,0.002,209
br05_065.json,partial,84.15,0.004,243
br05_066.json,partial,83.26,0.002,187
br05_067.json,partial,74.86,0.002,209
br05_068.json,partial,86.85,0.001,205
br05_069.json,partial,83.61,0.003,265
br05_070.json,partial,75.61,0.001,174
br05_071.json,partial,82.73,0.003,233
br05_072.json,partial,82.94,0.002,227
br05_073.json,partial,81.78,0.002,197
br05_074.json,partial,77.92,0.001,175
br05_075.json,partial,81.71,0.001,195
br05_076.json,partial,80.16,0.001,166
br05_077.json,partial,80.92,0.005,286
br05_078.json,partial,81.47,0.004,270
br05_079.json,partial,82.51,0.007,309
br05_080.json,partial,79.19,0.002,226
br05_081.json,partial,81.51,0.001,171
br05_082.json,partial,83.49,0.002,220
br05_083.json,partial,78.98,0.002,204
br05_084.json,partial,86.82,0.002,222
br05_085.json,partial,88.20,0.002,224
br05_086.json,partial,79.59,0.002,205
br05_087.json,partial,86.77,0.002,196
br05_088.json,partial,79.87,0.004,271
br05_089.json,partial,78.67,0.001,144
br05_090.json,partial,77.88,0.001,161
br05_091.json,partial,85.91,0.003,237
br05_092.json,partial,84.36,0.002,192
br05_093.json,partial,78.27,0.001,144
br05_094.json,partial,84.32,0.002,208
br05_095.json,partial,71.78,0.003,271
br05_096.json,partial,83.22,0.003,256
