filename,status,volume_rate(%),duration(s),memory(KB)
br02_071.json,partial,84.13,0.002,240
br02_072.json,partial,78.27,0.001,166
br02_073.json,partial,80.03,0.002,241
br02_074.json,partial,78.00,0.002,231
br02_075.json,partial,81.43,0.004,321
br02_076.json,partial,88.01,0.006,373
br02_077.json,partial,83.01,0.008,404
br02_078.json,partial,83.37,0.003,392
br02_079.json,partial,85.78,0.007,414
br02_080.json,partial,79.35,0.001,219
br02_081.json,partial,82.37,0.001,175
br02_082.json,partial,80.20,0.002,275
br02_083.json,partial,75.79,0.003,254
br02_084.json,partial,78.43,0.001,178
br02_085.json,partial,87.00,0.005,438
br02_086.json,partial,80.56,0.004,314
br02_087.json,partial,87.85,0.001,212
br02_088.json,partial,76.29,0.002,268
br02_089.json,partial,76.80,0.001,197
br02_090.json,partial,78.70,0.001,161
br02_091.json,partial,81.83,0.002,373
br02_092.json,partial,79.80,0.001,162
br02_093.json,partial,85.34,0.001,180
br02_094.json,partial,90.21,0.004,361
br02_095.json,partial,82.82,0.003,306
br02_096.json,partial,87.04,0.007,395
br02_097.json,partial,84.01,0.003,322
br02_098.json,partial,83.12,0.002,279
br02_099.json,partial,85.11,0.004,348
br02_100.json,partial,82.15,0.003,265
br03_001.json,partial,80.42,0.001,196
br03_002.json,partial,86.32,0.002,239
br03_003.json,partial,78.69,0.003,283
br03_004.json,partial,85.34,0.007,352
br03_005.json,partial,79.42,0.001,218
br03_006.json,partial,82.91,0.003,300
br03_007.json,partial,83.64,0.003,293
br03_008.json,partial,87.84,0.001,228
br03_009.json,partial,83.56,0.002,267
br03_010.json,partial,81.25,0.005,354
br03_011.json,partial,79.65,0.002,231
br03_012.json,partial,80.97,0.002,212
br03_013.json,partial,85.25,0.005,390
br03_014.json,partial,87.11,0.001,226
br03_015.json,partial,83.48,0.002,219
br03_016.json,partial,83.84,0.002,248
br03_017.json,partial,88.12,0.001,194
br03_018.json,partial,78.56,0.001,187
br03_019.json,partial,85.95,0.005,361
br03_020.json,partial,86.18,0.002,268
br03_021.json,partial,78.93,0.001,192
br03_022.json,partial,83.38,0.002,235
br03_023.json,partial,85.15,0.002,264
br03_024.json,partial,82.34,0.002,226
br03_025.json,partial,76.63,0.002,262
br03_026.json,partial,83.35,0.003,352
br03_027.json,partial,84.00,0.002,236
br03_028.json,partial,79.37,0.003,280
br03_029.json,partial,78.37,0.006,334
br03_030.json,partial,82.86,0.003,305
br03_031.json,partial,78.85,0.003,278
br03_032.json,partial,82.06,0.003,273
br03_033.json,partial,87.35,0.002,282
br03_034.json,partial,81.07,0.004,331
br03_035.json,partial,82.86,0.004,315
br03_036.json,partial,90.88,0.002,234
br03_037.json,partial,82.82,0.002,221
br03_038.json,partial,84.28,0.001,219
br03_039.json,partial,84.28,0.010,453
br03_040.json,partial,76.38,0.001,171
br03_041.json,partial,84.97,0.002,247
br03_042.json,partial,81.63,0.002,273
br03_043.json,partial,85.38,0.001,198
br03_044.json,partial,83.21,0.002,307
br03_045.json,partial,84.46,0.003,290
br03_046.json,partial,79.97,0.002,228
br03_047.json,partial,79.01,0.003,296
br03_048.json,partial,79.89,0.001,217
br03_049.json,partial,86.17,0.001,237
br03_050.json,partial,82.60,0.002,273
br03_051.json,partial,81.34,0.003,334
br03_052.json,partial,85.30,0.002,301
br03_053.json,partial,82.42,0.002,213
br03_054.json,partial,82.22,0.003,366
br03_055.json,partial,78.52,0.003,293
br03_056.json,partial,85.28,0.007,457
br03_057.json,partial,84.08,0.002,240
br03_058.json,partial,82.48,0.001,188
br03_059.json,partial,77.19,0.011,429
br03_060.json,partial,80.30,0.003,234
br03_061.json,partial,83.36,0.001,181
br03_062.json,partial,84.75,0.002,229
br03_063.json,partial,83.94,0.002,237
br03_064.json,partial,82.81,0.002,272
br03_065.json,partial,85.38,0.003,251
br03_066.json,partial,85.56,0.001,217
br03_067.json,partial,79.84,0.005,333
br03_068.json,partial,89.84,0.002,254
br03_069.json,partial,79.37,0.004,310
br03_070.json,partial,77.97,0.002,222
br03_071.json,partial,83.36,0.002,276
br03_072.json,partial,82.88,0.003,258
br03_073.json,partial,80.22,0.002,221
br03_074.json,partial,82.92,0.002,244
br03_075.json,partial,83.11,0.002,269
br03_076.json,partial,81.40,0.003,267
br03_077.json,partial,80.10,0.008,396
br03_078.json,partial,82.30,0.003,324
br03_079.json,partial,81.57,0.005,390
br03_080.json,partial,78.21,0.002,217
br03_081.json,partial,80.96,0.001,173
br03_082.json,partial,83.16,0.004,348
br03_083.json,partial,79.71,0.003,264
br03_084.json,partial,80.37,0.001,211
br03_085.json,partial,84.67,0.002,321
br03_086.json,partial,84.01,0.003,320
br03_087.json,partial,88.65,0.002,252
br03_088.json,partial,74.04,0.003,328
br03_089.json,partial,79.13,0.001,187
br03_090.json,partial,83.94,0.001,180
br03_091.json,partial,87.73,0.004,408
br03_092.json,partial,81.47,0.001,205
br03_093.json,partial,79.66,0.001,186
br03_094.json,partial,83.95,0.003,305
br03_095.json,partial,80.82,0.003,365
br03_096.json,partial,82.19,0.007,365
br03_097.json,partial,85.06,0.004,337
br03_098.json,partial,75.87,0.002,232
br03_099.json,partial,78.89,0.001,226
br03_100.json,partial,81.30,0.002,285
br04_001.json,partial,79.03,0.001,233
br04_002.json,partial,83.07,0.002,255
br04_003.json,partial,82.48,0.003,284
br04_004.json,partial,80.62,0.004,331
br04_005.json,partial,82.27,0.002,263
br04_006.json,partial,77.96,0.003,257
br04_007.json,partial,79.58,0.003,271
br04_008.json,partial,76.46,0.001,228
br04_009.json,partial,79.00,0.003,293
br04_010.json,partial,83.23,0.002,259
br04_011.json,partial,80.13,0.002,251
br04_012.json,partial,83.02,0.002,239
br04_013.json,partial,82.30,0.004,333
br04_014.json,partial,85.63,0.002,230
br04_015.json,partial,81.23,0.002,212
br04_016.json,partial,80.59,0.003,255
br04_017.json,partial,86.70,0.001,204
br04_018.json,partial,82.90,0.001,175
br04_019.json,partial,84.43,0.002,280
br04_020.json,partial,85.01,0.002,270
br04_021.json,partial,80.28,0.001,240
br04_022.json,partial,85.23,0.001,225
br04_023.json,partial,86.63,0.001,226
br04_024.json,partial,79.30,0.003,269
br04_025.json,partial,77.04,0.002,263
br04_026.json,partial,84.52,0.003,336
br04_027.json,partial,85.74,0.002,263
br04_028.json,partial,75.79,0.004,343
br04_029.json,partial,82.84,0.002,259
br04_030.json,partial,80.98,0.004,291
br04_031.json,partial,79.61,0.004,303
br04_032.json,partial,75.79,0.003,296
br04_033.json,partial,89.25,0.003,285
br04_034.json,partial,79.81,0.002,265
br04_035.json,partial,83.64,0.003,312
br04_036.json,partial,85.34,0.003,260
br04_037.json,partial,82.68,0.002,256
br04_038.json,partial,79.45,0.002,248
br04_039.json,partial,81.84,0.011,428
br04_040.json,partial,72.42,0.001,205
br04_041.json,partial,85.37,0.002,228
br04_042.json,partial,76.37,0.002,245
br04_043.json,partial,87.76,0.001,202
br04_044.json,partial,77.81,0.002,277
br04_045.json,partial,82.70,0.003,322
br04_046.json,partial,81.63,0.001,222
br04_047.json,partial,80.47,0.003,279
br04_048.json,partial,81.38,0.002,229
br04_049.json,partial,82.63,0.001,237
br04_050.json,partial,85.49,0.004,355
br04_051.json,partial,85.44,0.005,386
br04_052.json,partial,84.93,0.002,307
br04_053.json,partial,84.62,0.001,221
br04_054.json,partial,85.23,0.003,378
br04_055.json,partial,83.66,0.003,296
br04_056.json,partial,81.45,0.009,460
br04_057.json,partial,82.99,0.001,205
br04_058.json,partial,86.16,0.001,244
br04_059.json,partial,80.21,0.008,382
br04_060.json,partial,80.45,0.002,256
br04_061.json,partial,83.93,0.002,261
br04_062.json,partial,84.89,0.002,239
br04_063.json,partial,85.13,0.001,223
br04_064.json,partial,85.06,0.002,243
br04_065.json,partial,85.50,0.003,301
br04_066.json,partial,82.33,0.002,218
br04_067.json,partial,79.23,0.005,344
br04_068.json,partial,83.55,0.001,247
br04_069.json,partial,79.32,0.004,308
br04_070.json,partial,77.40,0.002,241
br04_071.json,partial,80.56,0.003,283
br04_072.json,partial,79.93,0.003,243
br04_073.json,partial,86.73,0.002,257
br04_074.json,partial,81.01,0.001,196
br04_075.json,partial,78.42,0.003,295
br04_076.json,partial,83.63,0.002,238
br04_077.json,partial,79.40,0.007,365
br04_078.json,partial,85.21,0.003,352
