filename,volume_rate(%),duration(s),memory(KB)
br04_042.json,80.34,0.023,152
br04_043.json,82.83,0.018,130
br04_044.json,82.06,0.019,166
br04_045.json,80.62,0.021,181
br04_046.json,81.28,0.016,136
br04_047.json,78.05,0.022,167
br04_048.json,80.02,0.020,143
br04_049.json,83.90,0.020,141
br04_050.json,86.05,0.029,187
br04_051.json,81.30,0.023,199
br04_052.json,85.11,0.016,171
br04_053.json,85.69,0.018,138
br04_054.json,81.50,0.022,190
br04_055.json,79.17,0.024,171
br04_056.json,84.10,0.032,232
br04_057.json,82.61,0.014,134
br04_058.json,82.55,0.021,141
br04_059.json,78.98,0.038,209
br04_060.json,81.26,0.019,154
br04_061.json,80.78,0.018,152
br04_062.json,83.32,0.022,155
br04_063.json,85.03,0.017,138
br04_064.json,81.54,0.021,150
br04_065.json,87.22,0.027,179
br04_066.json,83.82,0.020,141
br04_067.json,76.04,0.025,189
br04_068.json,80.69,0.021,140
br04_069.json,79.94,0.020,180
br04_070.json,78.62,0.016,149
br04_071.json,79.87,0.016,167
br04_072.json,80.70,0.023,161
br04_073.json,81.61,0.025,149
br04_074.json,80.91,0.017,131
br04_075.json,81.24,0.023,174
br04_076.json,84.53,0.020,149
br04_077.json,78.57,0.026,195
br04_078.json,79.59,0.022,185
br04_079.json,86.67,0.034,221
br04_080.json,74.06,0.016,163
br04_081.json,79.62,0.014,140
br04_082.json,81.21,0.022,177
br04_083.json,81.01,0.020,157
br04_084.json,82.43,0.022,154
br04_085.json,89.50,0.020,153
br04_086.json,76.52,0.021,177
br04_087.json,86.90,0.017,143
br04_088.json,69.62,0.027,194
br04_089.json,82.65,0.023,133
br04_090.json,82.46,0.019,133
br04_091.json,88.55,0.023,165
br04_092.json,84.06,0.022,132
br04_093.json,84.60,0.018,122
br04_094.json,85.68,0.027,170
br04_095.json,82.40,0.021,196
br04_096.json,86.34,0.018,174
br04_097.json,82.06,0.018,170
br04_098.json,81.13,0.018,149
br04_099.json,86.88,0.023,164
br04_100.json,86.14,0.029,171
br05_001.json,78.56,0.022,138
br05_002.json,86.12,0.024,169
br05_003.json,80.35,0.026,166
br05_004.json,82.47,0.022,172
br05_005.json,85.69,0.022,163
br05_006.json,78.74,0.025,171
br05_007.json,77.93,0.026,165
br05_008.json,78.54,0.021,138
br05_009.json,81.85,0.023,167
br05_010.json,82.93,0.022,166
br05_011.json,82.85,0.026,173
br05_012.json,80.98,0.020,146
br05_013.json,84.95,0.030,210
br05_014.json,84.03,0.019,155
br05_015.json,82.50,0.017,143
br05_016.json,81.67,0.018,152
br05_017.json,87.67,0.017,145
br05_018.json,81.32,0.015,130
br05_019.json,85.51,0.020,172
br05_020.json,81.91,0.023,169
br05_021.json,85.95,0.023,158
br05_022.json,80.69,0.022,150
br05_023.json,88.65,0.023,172
br05_024.json,77.57,0.020,147
br05_025.json,78.41,0.031,172
br05_026.json,78.87,0.024,185
br05_027.json,84.00,0.027,153
br05_028.json,73.06,0.029,198
br05_029.json,83.85,0.020,153
br05_030.json,84.53,0.021,167
br05_031.json,75.74,0.024,175
br05_032.json,80.53,0.019,186
br05_033.json,84.54,0.026,172
br05_034.json,84.90,0.022,149
br05_035.json,81.41,0.024,172
br05_036.json,85.55,0.018,156
br05_037.json,84.33,0.021,154
br05_038.json,82.18,0.024,152
br05_039.json,83.16,0.036,209
br05_040.json,79.30,0.021,143
br05_041.json,84.06,0.019,166
br05_042.json,79.91,0.022,148
br05_043.json,79.56,0.021,148
br05_044.json,75.72,0.019,167
br05_045.json,78.12,0.034,192
br05_046.json,86.19,0.024,138
br05_047.json,83.56,0.022,174
br05_048.json,84.45,0.023,147
br05_049.json,85.95,0.023,142
br05_050.json,86.00,0.029,192
br05_051.json,82.64,0.025,208
br05_052.json,83.69,0.018,170
br05_053.json,82.91,0.020,154
br05_054.json,80.91,0.030,200
br05_055.json,83.64,0.028,168
br05_056.json,77.91,0.032,223
br05_057.json,82.78,0.019,142
br05_058.json,87.02,0.019,149
br05_059.json,86.26,0.020,180
br05_060.json,77.28,0.021,158
br05_061.json,84.70,0.018,144
br05_062.json,82.35,0.021,165
br05_063.json,79.75,0.021,143
br05_064.json,84.60,0.018,149
br05_065.json,82.92,0.018,184
br05_066.json,82.47,0.020,145
br05_067.json,82.32,0.023,171
br05_068.json,79.52,0.020,142
br05_069.json,78.37,0.018,182
br05_070.json,78.95,0.017,145
br05_071.json,81.72,0.017,172
br05_072.json,80.61,0.018,168
br05_073.json,80.30,0.024,158
br05_074.json,78.92,0.019,140
br05_075.json,81.17,0.024,150
br05_076.json,81.61,0.023,148
br05_077.json,86.57,0.023,192
br05_078.json,81.93,0.023,186
br05_079.json,83.79,0.027,204
br05_080.json,79.40,0.021,172
br05_081.json,76.83,0.021,140
br05_082.json,83.79,0.022,167
br05_083.json,81.65,0.017,158
br05_084.json,85.51,0.019,169
br05_085.json,87.45,0.025,157
br05_086.json,80.26,0.024,157
br05_087.json,85.16,0.021,148
br05_088.json,76.40,0.025,191
br05_089.json,82.33,0.021,135
br05_090.json,79.36,0.019,138
br05_091.json,84.59,0.024,170
br05_092.json,86.17,0.016,150
br05_093.json,82.28,0.017,129
br05_094.json,79.24,0.021,164
br05_095.json,77.16,0.027,201
br05_096.json,84.42,0.019,180
br05_097.json,83.82,0.025,168
br05_098.json,80.58,0.023,167
br05_099.json,86.60,0.024,167
br05_100.json,83.72,0.020,167
br06_001.json,79.39,0.020,166
br06_002.json,82.36,0.017,180
br06_003.json,80.07,0.017,172
br06_004.json,83.93,0.023,176
br06_005.json,81.19,0.019,176
br06_006.json,82.07,0.019,173
br06_007.json,81.76,0.014,158
br06_008.json,81.65,0.016,145
br06_009.json,80.51,0.017,159
br06_010.json,79.43,0.018,176
br06_011.json,82.58,0.017,168
br06_012.json,81.00,0.018,157
br06_013.json,83.01,0.023,216
br06_014.json,82.85,0.023,176
br06_015.json,83.78,0.016,140
br06_016.json,83.12,0.022,158
br06_017.json,84.15,0.022,156
br06_018.json,82.95,0.015,134
br06_019.json,85.16,0.020,168
br06_020.json,83.93,0.024,173
br06_021.json,78.47,0.024,166
br06_022.json,81.62,0.020,168
br06_023.json,86.94,0.023,153
br06_024.json,85.49,0.025,145
br06_025.json,76.80,0.024,172
br06_026.json,73.32,0.023,190
br06_027.json,83.70,0.021,161
br06_028.json,81.79,0.023,182
br06_029.json,82.63,0.023,172
br06_030.json,79.30,0.019,170
br06_031.json,78.29,0.016,186
br06_032.json,81.17,0.022,175
br06_033.json,86.84,0.019,175
br06_034.json,81.16,0.016,151
br06_035.json,80.45,0.017,182
br06_036.json,81.15,0.014,152
br06_037.json,82.61,0.013,147
br06_038.json,80.15,0.016,168
br06_039.json,80.42,0.018,203
br06_040.json,80.23,0.021,144
br06_041.json,81.92,0.023,167
br06_042.json,73.82,0.024,159
br06_043.json,79.91,0.022,148
br06_044.json,78.19,0.026,173
br06_045.json,78.26,0.028,185
br06_046.json,79.69,0.024,150
br06_047.json,75.27,0.023,178
br06_048.json,75.95,0.021,149
br06_049.json,85.91,0.020,148
br06_050.json,85.16,0.024,177
br06_051.json,79.65,0.022,198
br06_052.json,81.02,0.025,174
br06_053.json,82.30,0.025,161
br06_054.json,80.22,0.024,190
br06_055.json,80.58,0.027,176
br06_056.json,84.39,0.026,182
br06_057.json,82.47,0.020,150
br06_058.json,86.08,0.021,153
br06_059.json,84.80,0.024,160
br06_060.json,80.70,0.021,168
br06_061.json,76.51,0.025,149
br06_062.json,79.35,0.023,158
br06_063.json,78.18,0.024,152
br06_064.json,82.99,0.015,159
br06_065.json,81.89,0.020,185
br06_066.json,83.15,0.018,154
br06_067.json,82.21,0.019,180
br06_068.json,83.17,0.024,145
br06_069.json,81.98,0.022,192
br06_070.json,81.41,0.020,146
br06_071.json,83.71,0.024,172
br06_072.json,78.88,0.023,169
br06_073.json,79.32,0.018,152
br06_074.json,77.82,0.023,142
br06_075.json,81.39,0.024,158
br06_076.json,79.77,0.024,157
br06_077.json,79.87,0.024,186
br06_078.json,82.04,0.022,184
br06_079.json,81.72,0.028,192
br06_080.json,78.12,0.019,185
br06_081.json,82.34,0.018,138
br06_082.json,83.59,0.020,173
br06_083.json,79.84,0.021,167
br06_084.json,85.89,0.027,171
br06_085.json,87.64,0.019,161
br06_086.json,80.20,0.018,172
